2,-84.013,43.572,3
1.7,-84.174,43.669,20
1.1,-84.207,43.8,20
1.4,-84.194,43.884,20
1.9,-84.4,43.959,184
38.3,-84.426,43.925,184
3.4,-84.406,43.832,184
2.4,-84.578,43.873,184
1.6,-84.706,43.961,184
2.7,-85.076,43.974,276
6.8,-83.588,42.348,89
4,-83.98,42.322,89
3.6,-83.639,42.495,89
21.3,-83.737,42.709,159
2.4,-83.808,42.658,159
40.8,-83.666,42.456,89
1.6,-83.978,42.542,220
3,-83.983,42.206,89
3,-83.915,42.126,129
3.5,-83.778,42.083,129
8.1,-83.618,42.103,6
12,-83.611,42.191,6
12.5,-83.572,42.899,173
12.2,-83.532,42.882,173
10.9,-83.304,42.971,173
5.4,-83.327,42.736,48
4.5,-83.388,42.779,48
5.6,-83.629,42.837,173
1.1,-84.582,45.047,94
1.5,-84.53,45.165,94
0.8,-84.129,45.537,32
0.7,-84.234,45.636,32
0.8,-84.529,45.593,94
6.3,-83.27,43.074,173
32.7,-83.074,43.109,154
10.6,-82.928,43.185,154
0.7,-84.171,44.723,251
2.3,-84.909,43.495,117
1.1,-85.045,43.581,117
2,-85.109,43.818,117
4.4,-84.783,43.685,184
4.4,-84.785,43.684,184
6.8,-84.669,43.757,184
4.7,-84.708,43.546,117
5.9,-84.589,43.503,117
2.6,-84.646,43.699,184
1.5,-86.176,42.74,4
1.2,-86.156,42.661,245
1.6,-86.078,42.535,9
1.3,-86.052,42.404,9
1.9,-85.51,42.391,245
2.2,-85.702,42.617,245
3.3,-85.839,42.768,245
7.1,-86.027,42.244,286
1.7,-86.124,42.034,286
2.1,-85.749,42.056,286
5.5,-86.416,42.042,286
3.1,-85.834,42.667,245
8.2,-85.765,42.166,286
1,-85.607,42.548,245
1.3,-85.167,43.039,241
1.2,-85.213,43.154,241
0.7,-85.034,43.189,241
3,-84.876,43.201,96
6.4,-84.533,43.162,96
2.7,-84.544,43.077,96
2.8,-84.352,42.79,220
2.4,-84.35,42.659,220
3.1,-84.115,42.695,220
2.4,-84.234,42.538,220
4.4,-84.387,42.552,220
1.2,-84.562,42.599,220
6.8,-84.551,42.553,220
9.1,-84.635,42.349,220
1.5,-85.014,42.546,75
18.6,-84.354,42.116,220
5.6,-84.453,46.086,21
3.7,-86.475,41.801,46
7.3,-86.275,41.764,286
8.6,-86.483,42.029,286
4.3,-86.456,41.896,286
4.1,-86.649,41.794,46
14.8,-83.804,42.884,173
2.2,-86.356,41.979,286
10,-84.907,42.684,75
4.1,-84.767,42.655,75
12.7,-84.907,42.683,75
12.6,-84.32,42.924,96
3.7,-83.856,42.734,159
5.7,-83.796,42.899,173
3.6,-83.796,42.899,173
3,-83.985,42.882,159
2.2,-84.538,42.815,220
1.4,-84.964,42.785,220
3.7,-85.044,42.752,75
0.8,-85.123,42.93,241
4.2,-84.849,42.929,220
4.5,-84.576,42.898,96
4.6,-84.274,42.849,220
4.1,-84.098,42.936,96
4.3,-84.449,42.972,96
11.9,-84.449,42.972,96
10.7,-84.323,42.913,96
0.8,-83.489,44.888,2
1.4,-83.884,44.66,251
0.9,-83.884,44.784,161
3.4,-84.272,44.709,251
1.4,-84.147,44.844,161
4.1,-84.072,44.647,251
0.7,-84.351,44.55,251
1.1,-84.351,44.55,251
1.5,-85.987,46.609,149
0.7,-85.954,46.501,190
0.8,-85.907,46.32,190
0.7,-85.203,46.411,69
0.7,-84.957,46.134,37
0.9,-84.937,46.251,37
0.9,-84.874,46.278,37
0.8,-84.882,46.028,25
0.8,-85.551,46.204,25
1.3,-85.592,46.569,149
0.7,-85.746,46.391,69
1.7,-85.43,46.47,69
6.6,-85.785,46.007,25
1.4,-85.879,46.188,190
1.8,-85.958,46.064,190
1,-85.128,46.639,149
2,-84.229,46.071,21
2,-84.065,45.968,37
2.4,-84.364,46.18,21
1.7,-84.364,46.334,21
1.8,-84.509,46.313,7
2.6,-84.619,46.26,37
0.8,-84.705,46.332,7
0.8,-85.823,45.989,25
4.4,-85.391,46.139,25
0.8,-85.155,46.081,25
4.6,-84.969,46.362,69
